,0
zip,95014
sector,Technology
fullTimeEmployees,154000
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
city,Cupertino
phone,408 996 1010
state,CA
country,United States
companyOfficers,[]
website,https://www.apple.com
maxAge,1
address1,One Apple Park Way
industry,Consumer Electronics
ebitdaMargins,0.33842
profitMargins,0.26407
grossMargins,0.43322
operatingCashflow,116425998336
revenueGrowth,0.086
operatingMargins,0.30926
ebitda,130633998336
targetLowPrice,157
recommendationKey,buy
grossProfits,152836000000
freeCashflow,83916750848
targetMedianPrice,191
currentPrice,138.2
earningsGrowth,0.086
currentRatio,0.927
returnOnAssets,0.21695
numberOfAnalystOpinions,43
targetMeanPrice,190.2
debtToEquity,178.016
returnOnEquity,1.49271
targetHighPrice,215
totalCash,51511001088
totalDebt,119980998656
totalRevenue,386017001472
totalCashPerShare,3.178
financialCurrency,USD
revenuePerShare,23.471
quickRatio,0.76
recommendationMean,1.9
exchange,NMS
shortName,Apple Inc.
longName,Apple Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,True
gmtOffSetMilliseconds,-14400000
underlyingSymbol,
quoteType,EQUITY
symbol,AAPL
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_24937
uuid,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.797
beta3Year,
enterpriseToEbitda,20.084
52WeekChange,
morningStarRiskRating,
forwardEps,6.18
revenueQuarterlyGrowth,
sharesOutstanding,16406400000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,3.841
sharesShort,103977276
sharesPercentSharesOut,0.0064
fundFamily,
lastFiscalYearEnd,1632528000
heldPercentInstitutions,0.59571
netIncomeToCommon,101934997504
trailingEps,5.61
lastDividendValue,
SandP52WeekChange,
priceToBook,35.980213
heldPercentInsiders,0.00071999995
nextFiscalYearEnd,1695600000
yield,
mostRecentQuarter,1648252800
shortRatio,1.21
sharesShortPreviousMonthDate,1648684800
floatShares,16190874205
beta,
enterpriseValue,2623592988672
priceHint,2
threeYearAverageReturn,
lastSplitDate,1598832000
lastSplitFactor,4:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,0.058
priceToSalesTrailing12Months,5.8737426
dateShortInterest,1651190400
pegRatio,2.34
ytdReturn,
forwardPE,22.36246
lastCapGain,
shortPercentOfFloat,0.0064
sharesShortPriorMonth,101969098
category,
fiveYearAverageReturn,
previousClose,142.64
regularMarketOpen,140.28
twoHundredDayAverage,159.443
trailingAnnualDividendYield,0.005959058
payoutRatio,0.14310001
volume24Hr,
regularMarketDayHigh,140.76
navPrice,
averageDailyVolume10Day,78312870
regularMarketPreviousClose,142.64
fiftyDayAverage,156.7318
trailingAnnualDividendRate,0.85
open,140.28
averageVolume10days,78312870
expireDate,
algorithm,
dividendRate,0.92
exDividendDate,1651795200
circulatingSupply,
startDate,
regularMarketDayLow,137.27
currency,USD
trailingPE,24.63458
regularMarketVolume,46387803
lastMarket,
maxSupply,
openInterest,
marketCap,2267364458496
volumeAllCurrencies,
strikePrice,
averageVolume,95547420
dayLow,137.27
ask,137.88
askSize,1100
volume,46387803
fiftyTwoWeekHigh,182.94
fromCurrency,
fiveYearAvgDividendYield,1.1
fiftyTwoWeekLow,126.1
bid,137.86
tradeable,False
dividendYield,0.0063
bidSize,800
dayHigh,140.76
regularMarketPrice,138.2
preMarketPrice,140.21
logo_url,https://logo.clearbit.com/apple.com
