,2022-03-26,2021-12-25,2021-09-25,2021-06-26
Total Liab,283263000000.0,309259000000.0,287912000000.0,265560000000.0
Total Stockholder Equity,67399000000.0,71932000000.0,63090000000.0,64280000000.0
Other Current Liab,58168000000.0,57043000000.0,53577000000.0,51306000000.0
Total Assets,350662000000.0,381191000000.0,351002000000.0,329840000000.0
Common Stock,61181000000.0,58424000000.0,57365000000.0,54989000000.0
Other Current Assets,15809000000.0,18112000000.0,14111000000.0,13641000000.0
Retained Earnings,12712000000.0,14435000000.0,5562000000.0,9233000000.0
Other Liab,52432000000.0,55056000000.0,43050000000.0,38354000000.0
Treasury Stock,-6494000000.0,-927000000.0,163000000.0,58000000.0
Other Assets,51959000000.0,50109000000.0,38762000000.0,44854000000.0
Cash,28098000000.0,37119000000.0,34940000000.0,34050000000.0
Total Current Liabilities,127508000000.0,147574000000.0,125481000000.0,107754000000.0
Short Long Term Debt,9659000000.0,11169000000.0,9613000000.0,8039000000.0
Other Stockholder Equity,-6494000000.0,-927000000.0,163000000.0,58000000.0
Property Plant Equipment,39304000000.0,39245000000.0,49527000000.0,38615000000.0
Total Current Assets,118180000000.0,153154000000.0,134836000000.0,114423000000.0
Long Term Investments,141219000000.0,138683000000.0,127877000000.0,131948000000.0
Net Tangible Assets,67399000000.0,71932000000.0,63090000000.0,64280000000.0
Short Term Investments,23413000000.0,26794000000.0,27699000000.0,27646000000.0
Net Receivables,45400000000.0,65253000000.0,51506000000.0,33908000000.0
Long Term Debt,103323000000.0,106629000000.0,109106000000.0,105752000000.0
Inventory,5460000000.0,5876000000.0,6580000000.0,5178000000.0
Accounts Payable,52682000000.0,74362000000.0,54763000000.0,40409000000.0
