,2022-03-26,2021-12-25,2021-09-25,2021-06-26
Investments,-6390000000.0,-12929000000.0,4608000000.0,5747000000.0
Change To Liabilities,-21398000000.0,20275000000.0,14050000000.0,307000000.0
Total Cashflows From Investing Activities,-9265000000.0,-16106000000.0,835000000.0,3572000000.0
Net Borrowings,-1751000000.0,-1000000000.0,3220000000.0,3220000000.0
Total Cash From Financing Activities,-28351000000.0,-28159000000.0,-20382000000.0,-29396000000.0
Change To Operating Activities,9486000000.0,-10497000000.0,-5602000000.0,-6048000000.0
Net Income,25010000000.0,34630000000.0,20551000000.0,21744000000.0
Change In Cash,-9450000000.0,2701000000.0,653000000.0,-4730000000.0
Repurchase Of Stock,-22961000000.0,-23366000000.0,-20449000000.0,-25595000000.0
Total Cash From Operating Activities,28166000000.0,46966000000.0,20200000000.0,21094000000.0
Depreciation,2737000000.0,2697000000.0,2989000000.0,2832000000.0
Other Cashflows From Investing Activities,-194000000.0,-374000000.0,-530000000.0,-78000000.0
Dividends Paid,-3595000000.0,-3732000000.0,-3640000000.0,-3767000000.0
Change To Inventory,384000000.0,681000000.0,-1429000000.0,13000000.0
Change To Account Receivables,9476000000.0,-3934000000.0,-8809000000.0,1031000000.0
Other Cashflows From Financing Activities,-44000000.0,-61000000.0,-57000000.0,-34000000.0
Change To Netincome,2471000000.0,3114000000.0,-1550000000.0,1215000000.0
Capital Expenditures,-2514000000.0,-2803000000.0,-3223000000.0,-2093000000.0
Issuance Of Stock,,,544000000.0,544000000.0
