,2022-03-26,2021-12-25,2021-09-25,2021-06-26
Research Development,6387000000.0,6306000000.0,5772000000.0,5717000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,30139000000.0,41241000000.0,23248000000.0,24369000000.0
Minority Interest,,,,
Net Income,25010000000.0,34630000000.0,20551000000.0,21744000000.0
Selling General Administrative,6193000000.0,6449000000.0,5616000000.0,5412000000.0
Gross Profit,42559000000.0,54243000000.0,35174000000.0,35255000000.0
Ebit,29979000000.0,41488000000.0,23786000000.0,24126000000.0
Operating Income,29979000000.0,41488000000.0,23786000000.0,24126000000.0
Other Operating Expenses,,,,
Interest Expense,-691000000.0,-694000000.0,-672000000.0,-665000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5129000000.0,6611000000.0,2697000000.0,2625000000.0
Total Revenue,97278000000.0,123945000000.0,83360000000.0,81434000000.0
Total Operating Expenses,67299000000.0,82457000000.0,59574000000.0,57308000000.0
Cost Of Revenue,54719000000.0,69702000000.0,48186000000.0,46179000000.0
Total Other Income Expense Net,160000000.0,-247000000.0,-538000000.0,243000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,25010000000.0,34630000000.0,20551000000.0,21744000000.0
Net Income Applicable To Common Shares,25010000000.0,34630000000.0,20551000000.0,21744000000.0
