,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Intangible Assets,102701000.0,57065000.0,39847000.0,43268000.0
Capital Surplus,636355000.0,663718000.0,577856000.0,574929000.0
Total Liab,2362971000.0,2348141000.0,2080826000.0,615823000.0
Total Stockholder Equity,1423672000.0,1086665000.0,1247853000.0,1287555000.0
Other Current Liab,158267000.0,131674000.0,123312000.0,219801000.0
Total Assets,3786643000.0,3434806000.0,3328679000.0,1903378000.0
Common Stock,2496000.0,2496000.0,2496000.0,2496000.0
Other Current Assets,9168000.0,8377000.0,5825000.0,4620000.0
Retained Earnings,2203772000.0,1868613000.0,2108292000.0,2054654000.0
Other Liab,24617000.0,15627000.0,27335000.0,73178000.0
Good Will,271416000.0,13267000.0,13157000.0,14899000.0
Treasury Stock,-1418951000.0,-1448162000.0,-1440791000.0,-1344524000.0
Other Assets,94309000.0,62058000.0,73709000.0,56809000.0
Cash,434770000.0,850477000.0,361930000.0,333330000.0
Total Current Liabilities,842871000.0,858482000.0,751756000.0,542645000.0
Deferred Long Term Asset Charges,44167000.0,33045000.0,22724000.0,14062000.0
Other Stockholder Equity,-40845000.0,-40748000.0,-33168000.0,-34832000.0
Property Plant Equipment,1921293000.0,1779773000.0,2154036000.0,742149000.0
Total Current Assets,1396924000.0,1522643000.0,1047930000.0,1046253000.0
Net Tangible Assets,1049555000.0,1016333000.0,1194849000.0,1229388000.0
Net Receivables,286683000.0,146102000.0,119064000.0,93477000.0
Long Term Debt,341002000.0,325290000.0,,
Inventory,553458000.0,405445000.0,446278000.0,424404000.0
Accounts Payable,231782000.0,255912000.0,285746000.0,240671000.0
Short Term Investments,,,55000000.0,92135000.0
