,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Change To Liabilities,-36192000.0,-30909000.0,44949000.0,4329000.0
Total Cashflows From Investing Activities,-594601000.0,-73945000.0,-174894000.0,-282829000.0
Total Cash From Financing Activities,-125197000.0,359907000.0,-211226000.0,-252503000.0
Change To Operating Activities,-141024000.0,-12106000.0,-76385000.0,24745000.0
Issuance Of Stock,13065000.0,3265000.0,2119000.0,15495000.0
Net Income,419629000.0,-209274000.0,191257000.0,261902000.0
Change In Cash,-415707000.0,488547000.0,28600000.0,-80283000.0
Repurchase Of Stock,-24018000.0,-25413000.0,-120468000.0,-164073000.0
Effect Of Exchange Rate,420000.0,87000.0,-696000.0,-1596000.0
Total Cash From Operating Activities,303671000.0,202498000.0,415416000.0,456645000.0
Depreciation,166751000.0,163380000.0,177079000.0,168504000.0
Other Cashflows From Investing Activities,-2603000.0,-970000.0,-1669000.0,-672000.0
Dividends Paid,-113945000.0,-22854000.0,-92783000.0,-97123000.0
Change To Inventory,-147140000.0,42156000.0,-21615000.0,-28496000.0
Other Cashflows From Financing Activities,-299000.0,-1199000.0,-94000.0,-6802000.0
Change To Netincome,41647000.0,249251000.0,100131000.0,25661000.0
Capital Expenditures,-233847000.0,-127975000.0,-210360000.0,-189021000.0
Investments,,55000000.0,37135000.0,-93136000.0
Net Borrowings,,406108000.0,406108000.0,406108000.0
