,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,558922000.0,-292273000.0,245278000.0,345100000.0
Minority Interest,,,,
Net Income,419629000.0,-209274000.0,191257000.0,261902000.0
Selling General Administrative,1222000000.0,977264000.0,1029412000.0,980610000.0
Gross Profit,1991790000.0,1148147000.0,1522301000.0,1487638000.0
Ebit,607409000.0,10681000.0,318139000.0,340697000.0
Operating Income,607409000.0,10681000.0,318139000.0,340697000.0
Other Operating Expenses,,,,
Interest Expense,-34632000.0,-24610000.0,-24610000.0,-24610000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,139293000.0,-82999000.0,54021000.0,83198000.0
Total Revenue,5010785000.0,3759113000.0,4308212000.0,4035720000.0
Total Operating Expenses,4403376000.0,3748432000.0,3990073000.0,3695023000.0
Cost Of Revenue,3018995000.0,2610966000.0,2785911000.0,2548082000.0
Total Other Income Expense Net,-48487000.0,-302954000.0,-72861000.0,4403000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,419629000.0,-209274000.0,191257000.0,261902000.0
Net Income Applicable To Common Shares,419629000.0,-209274000.0,191257000.0,261902000.0
