,0
zip,15203-2329
sector,Consumer Cyclical
fullTimeEmployees,7200
longBusinessSummary,"American Eagle Outfitters, Inc. operates as a specialty retailer that provides clothing, accessories, and personal care products under the American Eagle and Aerie brands. The company provides jeans, and specialty apparel and accessories for women and men; and intimates, apparel, activewear, and swim collections, as well as personal care products for women. It also offers graphic tees and other clothing products under the Tailgate brand name; and menswear products under the Todd Snyder New York brand name. As of January 29, 2022, the company operated 880 American Eagle stores, 244 Aerie brand stand-alone stores, and five Todd Snyder stores in the United States, Canada, Mexico, and Hong Kong. It also ships to 81 countries through its Websites; and offers its merchandise at 260 locations operated by licensees in 28 countries, as well as provides products through its Websites ae.com, aerie.com, and toddsnyder.com. American Eagle Outfitters, Inc. was founded in 1977 and is headquartered in Pittsburgh, Pennsylvania."
city,Pittsburgh
phone,412 432 3300
state,PA
country,United States
companyOfficers,[]
website,https://www.aeo-inc.com
maxAge,1
address1,77 Hot Metal Street
industry,Apparel Retail
ebitdaMargins,0.13754
profitMargins,0.07074
grossMargins,0.38631
operatingCashflow,194996992
revenueGrowth,0.02
operatingMargins,0.102539994
ebitda,691985984
targetLowPrice,8
recommendationKey,buy
grossProfits,1991790000
freeCashflow,-111151752
targetMedianPrice,15
currentPrice,12.88
earningsGrowth,-0.653
currentRatio,1.736
returnOnAssets,0.0908
numberOfAnalystOpinions,11
targetMeanPrice,17.36
debtToEquity,135.545
returnOnEquity,0.27820998
targetHighPrice,27
totalCash,228775008
totalDebt,1874601984
totalRevenue,5031207936
totalCashPerShare,1.35
financialCurrency,USD
revenuePerShare,29.866
quickRatio,0.623
recommendationMean,2.5
exchange,NYQ
shortName,"American Eagle Outfitters, Inc."
longName,"American Eagle Outfitters, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,AEO
messageBoardId,finmb_332273
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.761
beta3Year,
enterpriseToEbitda,5.532
52WeekChange,-0.6132132
morningStarRiskRating,
forwardEps,1.76
revenueQuarterlyGrowth,
sharesOutstanding,169402000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,8.163
sharesShort,34313296
sharesPercentSharesOut,0.2025
fundFamily,
lastFiscalYearEnd,1643414400
heldPercentInstitutions,1.15937
netIncomeToCommon,355905984
trailingEps,1.713
lastDividendValue,0.18
SandP52WeekChange,-0.029111743
priceToBook,1.5778513
heldPercentInsiders,0.062329996
nextFiscalYearEnd,1706486400
yield,
mostRecentQuarter,1651276800
shortRatio,5.46
sharesShortPreviousMonthDate,1649894400
floatShares,127717269
beta,1.330308
enterpriseValue,3827725056
priceHint,2
threeYearAverageReturn,
lastSplitDate,1166486400
lastSplitFactor,3:2
legalType,
lastDividendDate,1646870400
morningStarOverallRating,
earningsQuarterlyGrowth,-0.668
priceToSalesTrailing12Months,0.43367273
dateShortInterest,1652400000
pegRatio,2.72
ytdReturn,
forwardPE,7.318182
lastCapGain,
shortPercentOfFloat,0.3786
sharesShortPriorMonth,29783919
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,12.58
regularMarketOpen,12.57
twoHundredDayAverage,21.96515
trailingAnnualDividendYield,0.057233706
payoutRatio,0.41619998
volume24Hr,
regularMarketDayHigh,13.1
navPrice,
averageDailyVolume10Day,11346570
regularMarketPreviousClose,12.58
fiftyDayAverage,14.9374
trailingAnnualDividendRate,0.72
open,12.57
toCurrency,
averageVolume10days,11346570
expireDate,
algorithm,
dividendRate,0.72
exDividendDate,1646870400
circulatingSupply,
startDate,
regularMarketDayLow,12.33
currency,USD
trailingPE,7.5189724
regularMarketVolume,5607277
lastMarket,
maxSupply,
openInterest,
marketCap,2181897728
volumeAllCurrencies,
strikePrice,
averageVolume,7167374
dayLow,12.33
ask,0
askSize,1800
volume,5607277
fiftyTwoWeekHigh,38.99
fromCurrency,
fiveYearAvgDividendYield,2.88
fiftyTwoWeekLow,11.61
bid,12.5
tradeable,False
dividendYield,0.0559
bidSize,3000
dayHigh,13.1
regularMarketPrice,12.88
preMarketPrice,12.95
logo_url,https://logo.clearbit.com/aeo-inc.com
