,2022-04-30,2022-01-29,2021-10-30,2021-07-31
Intangible Assets,100679000.0,102701000.0,52943000.0,54255000.0
Capital Surplus,562973000.0,636355000.0,627264000.0,630506000.0
Total Liab,2318512000.0,2362971000.0,2353318000.0,2219491000.0
Total Stockholder Equity,1383006000.0,1423672000.0,1396697000.0,1275531000.0
Other Current Liab,148790000.0,158267000.0,131730000.0,126028000.0
Total Assets,3701518000.0,3786643000.0,3750015000.0,3495022000.0
Common Stock,2496000.0,2496000.0,2496000.0,2496000.0
Retained Earnings,2224113000.0,2203772000.0,2185393000.0,2058448000.0
Other Liab,24275000.0,24617000.0,23816000.0,24207000.0
Good Will,271398000.0,271416000.0,16389000.0,16365000.0
Treasury Stock,-1406576000.0,-1418951000.0,-1418456000.0,-1415919000.0
Other Assets,93568000.0,94309000.0,91637000.0,78176000.0
Cash,228775000.0,434770000.0,740668000.0,773994000.0
Total Current Liabilities,737479000.0,842871000.0,869572000.0,769218000.0
Deferred Long Term Asset Charges,42977000.0,44167000.0,57753000.0,46600000.0
Other Stockholder Equity,-40315000.0,-40845000.0,-39049000.0,-36894000.0
Property Plant Equipment,1955334000.0,1921293000.0,1813516000.0,1744643000.0
Total Current Assets,1280539000.0,1396924000.0,1775530000.0,1601583000.0
Net Tangible Assets,1010929000.0,1049555000.0,1327365000.0,1204911000.0
Net Receivables,230469000.0,286683000.0,228461000.0,155361000.0
Long Term Debt,405807000.0,341002000.0,336249000.0,331680000.0
Inventory,682100000.0,553458000.0,739808000.0,503507000.0
Accounts Payable,236376000.0,231782000.0,314561000.0,221471000.0
Other Current Assets,,9168000.0,,
Short Term Investments,,,,50000000.0
