,2022-01-29,2021-10-30,2021-07-31,2021-05-01
Change To Liabilities,-93555000.0,92991000.0,-10572000.0,-25056000.0
Total Cashflows From Investing Activities,-445824000.0,-8373000.0,-28217000.0,-112187000.0
Total Cash From Financing Activities,-30377000.0,-36767000.0,-35928000.0,-22125000.0
Change To Operating Activities,-57952000.0,-34765000.0,-2616000.0,-45691000.0
Net Income,50428000.0,152224000.0,121511000.0,95463000.0
Change In Cash,-305898000.0,-33326000.0,57315000.0,-133798000.0
Repurchase Of Stock,-55000.0,-6452000.0,-6567000.0,-10944000.0
Effect Of Exchange Rate,333000.0,333000.0,333000.0,87000.0
Total Cash From Operating Activities,169970000.0,11814000.0,121460000.0,427000.0
Depreciation,43845000.0,42084000.0,41525000.0,39297000.0
Other Cashflows From Investing Activities,1769000.0,-173000.0,-3818000.0,-381000.0
Dividends Paid,-30352000.0,-30354000.0,-30317000.0,-22922000.0
Change To Inventory,186731000.0,-237432000.0,-36669000.0,-59770000.0
Other Cashflows From Financing Activities,30000.0,39000.0,-23000.0,-345000.0
Change To Netincome,40473000.0,-3288000.0,8278000.0,-3816000.0
Capital Expenditures,-89442000.0,-58200000.0,-49399000.0,-36806000.0
Investments,,50000000.0,25000000.0,-75000000.0
Issuance Of Stock,,,979000.0,12086000.0
