Date,Firm,To Grade,From Grade,Action
2012-03-08,Wedbush,Neutral,,main
2012-03-26,Jefferies,Buy,,main
2012-04-23,Jefferies,Buy,,main
2012-05-01,Wedbush,Outperform,,up
2012-05-02,Stifel Nicolaus,Buy,,up
2012-05-02,Citigroup,Neutral,,main
2012-05-03,UBS,Neutral,,main
2012-05-21,Brean Capital,Buy,,up
2012-08-02,PiperJaffray,Overweight,,main
2012-08-03,UBS,Neutral,,main
2012-08-06,JP Morgan,Neutral,,main
2012-08-22,Sterne Agee,Neutral,,main
2012-08-22,Jefferies,Buy,,main
2012-08-22,Oppenheimer,Outperform,,main
2012-08-23,UBS,Neutral,,main
2012-08-23,Jefferies,Buy,,main
2012-08-24,Bank of America,Neutral,Underperform,up
2012-09-10,Sterne Agee,Buy,Neutral,up
2012-09-13,Citigroup,Buy,,init
2012-10-09,PiperJaffray,Neutral,Overweight,down
2012-10-18,Wells Fargo,Outperform,Market Perform,up
2012-11-16,BMO Capital,Market Perform,Outperform,down
2013-01-02,Jefferies,Hold,Buy,down
2013-01-10,Citigroup,Buy,,main
2013-01-11,Avondale Partners,Perform,Outperform,down
2013-03-07,Goldman Sachs,Neutral,,main
2013-03-07,Bank of America,Neutral,,main
2013-03-07,Citigroup,Buy,,main
2013-03-13,JP Morgan,Neutral,,main
2013-04-02,Barclays,Overweight,,init
2013-04-09,PiperJaffray,Overweight,Neutral,up
2013-04-10,PiperJaffray,Overweight,Neutral,up
2013-04-11,Topeka,Buy,,init
2013-05-07,Wells Fargo,Market Perform,Outperform,down
2013-05-15,Standpoint Research,Buy,Hold,up
2013-06-19,Oppenheimer,Perform,Outperform,down
2013-06-19,Citigroup,Neutral,Buy,down
2013-07-19,SunTrust Robinson Humphrey,Neutral,,init
2013-08-06,Janney Capital,Neutral,Buy,down
2013-08-06,B. Riley FBR,Neutral,Buy,down
2013-08-06,Jefferies,Hold,,main
2013-08-21,PiperJaffray,Neutral,Overweight,down
2013-08-22,Citigroup,Neutral,,main
2013-09-09,Nomura,Neutral,,init
2013-10-02,FBR Capital,Market Perform,,init
2013-11-07,Jefferies,Hold,,main
2013-11-07,Brean Capital,Buy,Hold,up
2013-11-15,Mizuho,Neutral,,init
2013-12-02,Janney Capital,Buy,Neutral,up
2013-12-09,B. Riley FBR,Buy,Neutral,up
2014-01-02,Jefferies,Buy,Hold,up
2014-01-23,Stifel,Hold,Buy,down
2014-03-11,Topeka,Buy,,main
2014-03-12,Nomura,Neutral,,main
2014-03-12,Morgan Stanley,Underweight,,down
2014-04-07,Cowen & Co.,Underperform,Market Perform,down
2014-04-08,Janney Capital,Neutral,Buy,down
2014-05-22,Topeka,Buy,,main
2014-05-22,Citigroup,Sell,Neutral,down
2014-05-22,FBR Capital,Market Perform,,main
2014-05-22,UBS,Neutral,,main
2014-05-22,Nomura,Neutral,,main
2014-05-22,JP Morgan,Neutral,,main
2014-05-22,Oppenheimer,Perform,,main
2014-05-27,B. Riley FBR,Buy,,main
2014-06-20,Stephens & Co.,Equal-Weight,,init
2014-08-12,Wunderlich,,,init
2014-08-20,SunTrust Robinson Humphrey,Buy,Neutral,up
2014-08-21,CRT Capital,Fair Value,,main
2014-08-21,Janney Capital,Buy,Neutral,up
2014-08-21,Oppenheimer,Perform,,main
2014-08-21,UBS,Neutral,,main
2014-08-21,JP Morgan,Neutral,,main
2014-08-21,Citigroup,Sell,,main
2014-08-28,Standpoint Research,Hold,Buy,down
2014-09-16,Stephens & Co.,Overweight,Equal-Weight,up
2014-10-21,BlueFin,Market Outperform,,init
2014-11-10,B. Riley FBR,Neutral,Buy,down
2014-11-10,Barclays,Equal-Weight,Overweight,down
2014-12-05,Morgan Stanley,Underweight,,main
2014-12-10,BMO Capital,Outperform,Market Perform,up
2015-01-09,Telsey Advisory Group,Market Perform,Underperform,up
2015-01-09,CRT Capital,Fair Value,,main
2015-02-24,BB&T Capital,Buy,,init
2015-02-24,Telsey Advisory Group,Outperform,Market Perform,up
2015-03-03,Oppenheimer,Outperform,,main
2015-03-04,Stifel Nicolaus,Buy,Hold,up
2015-03-05,UBS,Neutral,,main
2015-03-05,Susquehanna,Positive,,main
2015-03-05,FBR Capital,Market Perform,,main
2015-03-05,Barclays,Equal-Weight,,main
2015-03-05,CRT Capital,Fair Value,,main
2015-03-05,BMO Capital,Outperform,,main
2015-03-05,Stifel Nicolaus,Buy,Hold,up
2015-03-05,B. Riley FBR,Buy,Neutral,up
2015-03-05,Wunderlich,Hold,,main
2015-03-06,Oppenheimer,Outperform,,main
2015-03-26,Goldman Sachs,Sell,,down
2015-04-15,Guggenheim,Buy,,init
2015-04-27,Susquehanna,Positive,,main
