,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Investments,409000000.0,-120000000.0,-120000000.0,-287000000.0
Change To Liabilities,186000000.0,564000000.0,66000000.0,-78000000.0
Total Cashflows From Investing Activities,-446000000.0,-510000000.0,-894000000.0,-1001000000.0
Net Borrowings,-1046000000.0,943000000.0,943000000.0,943000000.0
Total Cash From Financing Activities,-1471000000.0,895000000.0,-560000000.0,-749000000.0
Change To Operating Activities,25000000.0,-127000000.0,154000000.0,-184000000.0
Issuance Of Stock,54000000.0,22000000.0,25000000.0,46000000.0
Net Income,256000000.0,-665000000.0,351000000.0,1003000000.0
Change In Cash,-1114000000.0,635000000.0,-39000000.0,-379000000.0
Repurchase Of Stock,-237000000.0,-9000000.0,-221000000.0,-421000000.0
Effect Of Exchange Rate,-6000000.0,13000000.0,4000000.0,-10000000.0
Total Cash From Operating Activities,809000000.0,237000000.0,1411000000.0,1381000000.0
Depreciation,504000000.0,507000000.0,557000000.0,578000000.0
Other Cashflows From Investing Activities,-5000000.0,2000000.0,2000000.0,-9000000.0
Dividends Paid,-226000000.0,-226000000.0,-364000000.0,-373000000.0
Change To Inventory,-593000000.0,-305000000.0,4000000.0,-154000000.0
Other Cashflows From Financing Activities,-16000000.0,-61000000.0,-61000000.0,-1000000.0
Change To Netincome,502000000.0,555000000.0,191000000.0,101000000.0
Capital Expenditures,-694000000.0,-392000000.0,-1045000000.0,-705000000.0
