,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,41000000.0,46000000.0,41000000.0,50000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,323000000.0,-1102000000.0,528000000.0,1322000000.0
Minority Interest,,,,
Net Income,256000000.0,-665000000.0,351000000.0,1003000000.0
Selling General Administrative,7153000000.0,6427000000.0,5038000000.0,4864000000.0
Gross Profit,8013000000.0,6160000000.0,6133000000.0,6322000000.0
Ebit,819000000.0,-313000000.0,1054000000.0,1408000000.0
Operating Income,819000000.0,-313000000.0,1054000000.0,1408000000.0
Other Operating Expenses,,,,
Interest Expense,-167000000.0,-192000000.0,-76000000.0,-73000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,67000000.0,-437000000.0,177000000.0,319000000.0
Total Revenue,16670000000.0,13800000000.0,16383000000.0,16580000000.0
Total Operating Expenses,15851000000.0,14113000000.0,15329000000.0,15172000000.0
Cost Of Revenue,8657000000.0,7640000000.0,10250000000.0,10258000000.0
Total Other Income Expense Net,-496000000.0,-789000000.0,-526000000.0,-86000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,256000000.0,-665000000.0,351000000.0,1003000000.0
Net Income Applicable To Common Shares,256000000.0,-665000000.0,351000000.0,1003000000.0
