,0
zip,94105
sector,Consumer Cyclical
fullTimeEmployees,97000
longBusinessSummary,"The Gap, Inc. operates as an apparel retail company. The company offers apparel, accessories, and personal care products for men, women, and children under the Old Navy, Gap, Banana Republic, and Athleta brands. Its products include denim, tees, fleece, and khakis; eyewear, jewelry, shoes, handbags, and fragrances; and fitness and lifestyle products for use in yoga, training, sports, travel, and everyday activities for women and girls. The company offers its products through company-operated stores, franchise stores, Websites, third-party arrangements, and catalogs. It has franchise agreements with unaffiliated franchisees to operate Old Navy, Gap, Athleta, and Banana Republic stores and websites in Asia, Europe, Latin America, the Middle East, and Africa. As of December 31, 2021, the company had 2,835 company-operated stores and 564 franchise stores. It also provides its products through e-commerce sites. The Gap, Inc. was incorporated in 1969 and is headquartered in San Francisco, California."
city,San Francisco
phone,415 427 0100
state,CA
country,United States
companyOfficers,[]
website,https://www.gapinc.com
maxAge,1
address1,Two Folsom Street
industry,Apparel Retail
ebitdaMargins,0.051680002
profitMargins,-0.00446
grossMargins,0.46292
operatingCashflow,107000000
revenueGrowth,-0.129
operatingMargins,0.01987
ebitda,835000000
targetLowPrice,7
recommendationKey,hold
grossProfits,8013000000
freeCashflow,-834499968
targetMedianPrice,11
currentPrice,10.61
earningsGrowth,
currentRatio,1.442
returnOnAssets,0.01551
numberOfAnalystOpinions,20
targetMeanPrice,12.44
debtToEquity,263.773
returnOnEquity,-0.027379999
targetHighPrice,29.5
totalCash,845000000
totalDebt,6472999936
totalRevenue,16156000256
totalCashPerShare,2.296
financialCurrency,USD
revenuePerShare,43.14
quickRatio,0.243
recommendationMean,3
exchange,NYQ
shortName,"Gap, Inc. (The)"
longName,"The Gap, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,GPS
messageBoardId,finmb_274265
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.589
beta3Year,
enterpriseToEbitda,11.398
52WeekChange,-0.66113067
morningStarRiskRating,
forwardEps,1
revenueQuarterlyGrowth,
sharesOutstanding,367968000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,6.65
sharesShort,23082522
sharesPercentSharesOut,0.0625
fundFamily,
lastFiscalYearEnd,1643414400
heldPercentInstitutions,0.58907
netIncomeToCommon,-72000000
trailingEps,-0.192
lastDividendValue,0.15
SandP52WeekChange,-0.029111743
priceToBook,1.5954887
heldPercentInsiders,0.45284
nextFiscalYearEnd,1706486400
yield,
mostRecentQuarter,1651276800
shortRatio,2.19
sharesShortPreviousMonthDate,1649894400
floatShares,191623062
beta,1.669237
enterpriseValue,9517422592
priceHint,2
threeYearAverageReturn,
lastSplitDate,930009600
lastSplitFactor,3:2
legalType,
lastDividendDate,1649116800
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,0.24165265
dateShortInterest,1652400000
pegRatio,-2.89
ytdReturn,
forwardPE,10.61
lastCapGain,
shortPercentOfFloat,0.1452
sharesShortPriorMonth,32307371
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,10.57
regularMarketOpen,10.61
twoHundredDayAverage,17.91665
trailingAnnualDividendYield,0.048249763
payoutRatio,
volume24Hr,
regularMarketDayHigh,10.88
navPrice,
averageDailyVolume10Day,17801230
regularMarketPreviousClose,10.57
fiftyDayAverage,12.5056
trailingAnnualDividendRate,0.51
open,10.61
toCurrency,
averageVolume10days,17801230
expireDate,
algorithm,
dividendRate,0.6
exDividendDate,1656979200
circulatingSupply,
startDate,
regularMarketDayLow,10.44
currency,USD
regularMarketVolume,9730185
lastMarket,
maxSupply,
openInterest,
marketCap,3904140288
volumeAllCurrencies,
strikePrice,
averageVolume,10585900
dayLow,10.44
ask,10.75
askSize,900
volume,9730185
fiftyTwoWeekHigh,34.49
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,9.24
bid,10.45
tradeable,False
dividendYield,0.0561
bidSize,2900
dayHigh,10.88
regularMarketPrice,10.61
preMarketPrice,10.59
logo_url,https://logo.clearbit.com/gapinc.com
trailingPegRatio,0.4293
