,2022-01-29,2021-10-30,2021-07-31,2021-05-01
Intangible Assets,90000000.0,,,
Capital Surplus,43000000.0,71000000.0,114000000.0,118000000.0
Total Liab,10039000000.0,9993000000.0,10739000000.0,10798000000.0
Total Stockholder Equity,2722000000.0,2787000000.0,3020000000.0,2806000000.0
Other Current Liab,832000000.0,45000000.0,42000000.0,158000000.0
Total Assets,12761000000.0,12780000000.0,13759000000.0,13604000000.0
Common Stock,19000000.0,19000000.0,19000000.0,19000000.0
Other Current Assets,761000000.0,1410000000.0,1201000000.0,1091000000.0
Retained Earnings,2622000000.0,2681000000.0,2879000000.0,2667000000.0
Other Liab,445000000.0,523000000.0,520000000.0,493000000.0
Good Will,207000000.0,,,
Treasury Stock,38000000.0,16000000.0,8000000.0,2000000.0
Other Assets,587000000.0,861000000.0,693000000.0,703000000.0
Cash,877000000.0,801000000.0,2375000000.0,2066000000.0
Total Current Liabilities,4077000000.0,3823000000.0,3651000000.0,3638000000.0
Other Stockholder Equity,38000000.0,16000000.0,8000000.0,2000000.0
Property Plant Equipment,6712000000.0,6712000000.0,6872000000.0,6899000000.0
Total Current Assets,5165000000.0,5207000000.0,6194000000.0,6002000000.0
Net Tangible Assets,2425000000.0,2787000000.0,3020000000.0,2806000000.0
Net Receivables,399000000.0,,,
Long Term Debt,1484000000.0,1484000000.0,2220000000.0,2218000000.0
Inventory,3018000000.0,2721000000.0,2281000000.0,2370000000.0
Accounts Payable,1951000000.0,1630000000.0,1583000000.0,1530000000.0
Short Term Investments,,275000000.0,337000000.0,475000000.0
