,2022-04-30,2022-01-29,2021-10-30,2021-07-31
Change To Liabilities,-336000000.0,305000000.0,49000000.0,37000000.0
Total Cashflows From Investing Activities,105000000.0,62000000.0,-291000000.0,-56000000.0
Net Borrowings,350000000.0,350000000.0,-1046000000.0,-1046000000.0
Total Cash From Financing Activities,233000000.0,-113000000.0,-1175000000.0,-85000000.0
Change To Operating Activities,-199000000.0,-22000000.0,44000000.0,-73000000.0
Issuance Of Stock,7000000.0,6000000.0,7000000.0,16000000.0
Net Income,-162000000.0,-16000000.0,-152000000.0,258000000.0
Change In Cash,-31000000.0,73000000.0,-1578000000.0,311000000.0
Repurchase Of Stock,-68000000.0,-75000000.0,-75000000.0,-55000000.0
Effect Of Exchange Rate,-7000000.0,-3000000.0,-2000000.0,-2000000.0
Total Cash From Operating Activities,-362000000.0,127000000.0,-110000000.0,452000000.0
Depreciation,130000000.0,132000000.0,128000000.0,124000000.0
Dividends Paid,-56000000.0,-44000000.0,-45000000.0,-46000000.0
Change To Inventory,-166000000.0,-305000000.0,-444000000.0,87000000.0
Capital Expenditures,-228000000.0,-208000000.0,-217000000.0,-145000000.0
Investments,,275000000.0,61000000.0,138000000.0
Other Cashflows From Investing Activities,,-5000000.0,-5000000.0,-5000000.0
Change To Netincome,,21000000.0,301000000.0,52000000.0
Other Cashflows From Financing Activities,,,-16000000.0,-16000000.0
