,2022-01-29,2021-10-30,2021-07-31,2021-05-01
Research Development,41000000.0,41000000.0,41000000.0,41000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-8000000.0,-215000000.0,359000000.0,187000000.0
Minority Interest,,,,
Net Income,-16000000.0,-152000000.0,258000000.0,166000000.0
Selling General Administrative,2848000000.0,1449000000.0,1398000000.0,1329000000.0
Gross Profit,2899000000.0,1661000000.0,1823000000.0,1630000000.0
Ebit,10000000.0,212000000.0,425000000.0,301000000.0
Operating Income,10000000.0,212000000.0,425000000.0,301000000.0
Other Operating Expenses,,,,
Interest Expense,-18000000.0,-44000000.0,-51000000.0,-54000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,8000000.0,-63000000.0,101000000.0,21000000.0
Total Revenue,4525000000.0,3943000000.0,4211000000.0,3991000000.0
Total Operating Expenses,4515000000.0,3731000000.0,3786000000.0,3690000000.0
Cost Of Revenue,1626000000.0,2282000000.0,2388000000.0,2361000000.0
Total Other Income Expense Net,-18000000.0,-427000000.0,-66000000.0,-114000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-16000000.0,-152000000.0,258000000.0,166000000.0
Net Income Applicable To Common Shares,-16000000.0,-152000000.0,258000000.0,166000000.0
