Date,Firm,To Grade,From Grade,Action
2012-02-14,Citigroup,Buy,,up
2012-03-01,Jefferies,Buy,,main
2012-03-02,JP Morgan,Neutral,,main
2012-03-19,BMO Capital,Outperform,,up
2012-03-19,Citigroup,Buy,,main
2012-03-26,Canaccord Genuity,Sell,,init
2012-03-26,Jefferies,Buy,,main
2012-03-30,Wedbush,Neutral,,main
2012-04-04,PiperJaffray,Overweight,,up
2012-04-13,Jefferies,Buy,,main
2012-05-03,Canaccord Genuity,Sell,,main
2012-05-21,JP Morgan,Neutral,,main
2012-08-02,Wedbush,Neutral,,main
2012-08-02,Jefferies,Buy,,main
2012-08-02,Canaccord Genuity,Sell,,main
2012-08-03,UBS,Neutral,,main
2012-08-13,PiperJaffray,Overweight,,main
2012-08-16,Susquehanna,Positive,,main
2012-08-16,BMO Capital,Outperform,,main
2012-08-17,Stifel Nicolaus,Buy,,main
2012-08-17,UBS,Neutral,,main
2012-08-17,Canaccord Genuity,Sell,,main
2012-08-20,ISI Group,Hold,Hold,main
2012-08-20,ISI Group,Hold,Sell,up
2012-08-21,Standpoint Research,Sell,Hold,down
2012-08-21,Argus,Buy,Hold,up
2012-08-31,UBS,Neutral,,main
2012-09-13,Citigroup,Neutral,,init
2012-09-21,Jefferies,Buy,,main
2012-09-24,Jefferies,Buy,,main
2012-10-05,Caris & Co.,Buy,Above Average,up
2012-10-05,PiperJaffray,Overweight,,main
2012-10-05,JP Morgan,Neutral,,main
2012-11-16,Canaccord Genuity,Hold,Sell,up
2012-12-05,JP Morgan,Neutral,,main
2012-12-27,Standpoint Research,Hold,Sell,up
2013-02-26,UBS,Neutral,,main
2013-03-04,Sterne Agee,Underperform,,init
2013-03-07,Wedbush,Neutral,,main
2013-03-13,JP Morgan,Neutral,,main
2013-03-18,Jefferies,Buy,,main
2013-04-02,Barclays,Overweight,,init
2013-04-08,Avondale Partners,Market Perform,Underperform,up
2013-04-09,Jefferies,Buy,,main
2013-04-11,Topeka,Buy,,init
2013-04-12,Sterne Agee,Underperform,,main
2013-04-18,BMO Capital,Outperform,,main
2013-05-07,Wells Fargo,Outperform,Market Perform,up
2013-05-15,Citigroup,Buy,Neutral,up
2013-07-10,Cowen & Co.,Market Perform,,init
2013-07-12,Stifel Nicolaus,Buy,,main
2013-07-19,SunTrust Robinson Humphrey,Neutral,,init
2013-08-01,FBR Capital,Outperform,,init
2013-08-09,Susquehanna,Neutral,Positive,down
2013-09-09,Nomura,Neutral,,init
2013-10-11,Nomura,Neutral,,main
2013-10-22,BMO Capital,Market Perform,Outperform,down
2013-10-24,FBR Capital,Market Perform,Outperform,down
2013-10-31,Jefferies,Buy,,main
2013-11-04,Goldman Sachs,Neutral,Buy,down
2013-11-15,Mizuho,Buy,,init
2013-11-27,Argus Capital,Hold,Buy,down
2013-12-06,Jefferies,Hold,Buy,down
2013-12-06,Jefferies,Hold,Buy,down
2014-01-21,Sterne Agee,Buy,Underperform,up
2014-02-04,UBS,Buy,Neutral,up
2014-02-28,Atlantic Equities,Neutral,Underweight,up
2014-04-11,Janney Capital,Neutral,Buy,down
2014-04-11,Bank of America,Neutral,,main
2014-05-09,Canaccord Genuity,Hold,,main
2014-06-05,Wedbush,Neutral,,init
2014-06-18,Canaccord Genuity,Buy,Hold,up
2014-08-22,Janney Capital,Buy,Neutral,up
2014-09-05,Buckingham Research,Neutral,Buy,down
2014-09-08,Bank of America,Underperform,,down
2014-10-09,Canaccord Genuity,Buy,,main
2014-10-09,Sterne Agee,Neutral,Buy,down
2014-10-09,Janney Capital,Neutral,Buy,down
2014-10-09,Telsey Advisory Group,Market Perform,Outperform,down
2014-10-09,Nomura,Neutral,,main
2014-10-09,Bank of America,Underperform,,main
2014-10-09,Wells Fargo,Market Perform,Outperform,down
2014-10-09,Buckingham Research,Neutral,,main
2014-10-10,Wedbush,Neutral,,main
2014-11-07,Canaccord Genuity,Buy,,main
2014-11-21,Wedbush,Neutral,,main
2014-12-16,Cowen & Co.,Market Perform,,init
2015-01-05,Susquehanna,Positive,Neutral,up
2015-01-05,Jefferies,Buy,Hold,up
2015-01-16,Atlantic Equities,Underweight,Neutral,down
2015-02-03,Guggenheim,Neutral,,init
