,0
zip,30313
sector,Consumer Defensive
fullTimeEmployees,79000
longBusinessSummary,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; flavored and enhanced water, and sports drinks; juice, dairy, and plantbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, dogadan, Dasani, glacéau smartwater, glacéau vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, BODYARMOR, Costa, FUZE TEA, Georgia, and Gold Peak brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia."
city,Atlanta
phone,404 676 2121
state,GA
country,United States
companyOfficers,[]
website,https://www.coca-colacompany.com
maxAge,1
address1,One Coca-Cola Plaza
industry,Beverages—Non-Alcoholic
ebitdaMargins,0.33198002
profitMargins,0.25686002
grossMargins,0.60268
operatingCashflow,11612000256
revenueGrowth,0.163
operatingMargins,0.29684
ebitda,13320999936
targetLowPrice,58.42
recommendationKey,buy
grossProfits,23298000000
freeCashflow,7018749952
targetMedianPrice,70
currentPrice,62.89
earningsGrowth,0.231
currentRatio,1.179
returnOnAssets,0.08089
numberOfAnalystOpinions,25
targetMeanPrice,69.86
debtToEquity,155.363
returnOnEquity,0.42064
targetHighPrice,76
totalCash,10355999744
totalDebt,41700999168
totalRevenue,40126001152
totalCashPerShare,2.391
financialCurrency,USD
revenuePerShare,9.286
quickRatio,0.798
recommendationMean,2.1
exchange,NYQ
shortName,Coca-Cola Company (The)
longName,The Coca-Cola Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,True
gmtOffSetMilliseconds,-14400000
underlyingSymbol,
quoteType,EQUITY
symbol,KO
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_26642
uuid,5fed318f-9c85-3ad1-b311-20392472c25a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,7.805
beta3Year,
enterpriseToEbitda,23.509
52WeekChange,
morningStarRiskRating,
forwardEps,2.43
revenueQuarterlyGrowth,
sharesOutstanding,4319419904
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,5.135
sharesShort,32371193
sharesPercentSharesOut,0.0075
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.70774
netIncomeToCommon,10307000320
trailingEps,2.031
lastDividendValue,
SandP52WeekChange,
priceToBook,12.247322
heldPercentInsiders,0.00661
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1648771200
shortRatio,2.04
sharesShortPreviousMonthDate,1648684800
floatShares,3901841210
beta,0.657843
enterpriseValue,313166921728
priceHint,2
threeYearAverageReturn,
lastSplitDate,1344816000
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,0.239
priceToSalesTrailing12Months,6.769882
dateShortInterest,1651190400
pegRatio,3.97
ytdReturn,
forwardPE,25.880657
lastCapGain,
shortPercentOfFloat,0.0075
sharesShortPriorMonth,23880536
category,
fiveYearAverageReturn,
previousClose,63.25
regularMarketOpen,62.99
twoHundredDayAverage,59.1683
trailingAnnualDividendYield,0.02640316
payoutRatio,0.71730006
volume24Hr,
regularMarketDayHigh,63.21
navPrice,
averageDailyVolume10Day,17913140
regularMarketPreviousClose,63.25
fiftyDayAverage,63.9398
trailingAnnualDividendRate,1.67
open,62.99
averageVolume10days,17913140
expireDate,
algorithm,
dividendRate,1.76
exDividendDate,1655164800
circulatingSupply,
startDate,
regularMarketDayLow,62.555
currency,USD
trailingPE,30.965044
regularMarketVolume,10211450
lastMarket,
maxSupply,
openInterest,
marketCap,271648309248
volumeAllCurrencies,
strikePrice,
averageVolume,18081055
dayLow,62.555
ask,63.05
askSize,2200
volume,10211450
fiftyTwoWeekHigh,67.2
fromCurrency,
fiveYearAvgDividendYield,3.17
fiftyTwoWeekLow,52.28
bid,63.02
tradeable,False
dividendYield,0.026800001
bidSize,1000
dayHigh,63.21
regularMarketPrice,62.89
preMarketPrice,62.96
logo_url,https://logo.clearbit.com/coca-colacompany.com
