,2022-04-01,2021-12-31,2021-10-01,2021-07-02
Investments,488000000.0,-1405000000.0,316000000.0,2209000000.0
Change To Liabilities,0.0,2843000000.0,0.0,0.0
Total Cashflows From Investing Activities,146000000.0,-4684000000.0,166000000.0,2034000000.0
Net Borrowings,7000000.0,1417000000.0,16000000.0,-3749000000.0
Total Cash From Financing Activities,-2975000000.0,-195000000.0,-1629000000.0,-5326000000.0
Change To Operating Activities,-2468000000.0,-760000000.0,606000000.0,939000000.0
Issuance Of Stock,449000000.0,209000000.0,151000000.0,159000000.0
Net Income,2781000000.0,2414000000.0,2471000000.0,2641000000.0
Change In Cash,-2033000000.0,-1588000000.0,2105000000.0,697000000.0
Repurchase Of Stock,-546000000.0,-7000000.0,-7000000.0,-7000000.0
Effect Of Exchange Rate,173000000.0,-103000000.0,-138000000.0,100000000.0
Total Cash From Operating Activities,623000000.0,3394000000.0,3706000000.0,3889000000.0
Depreciation,324000000.0,341000000.0,362000000.0,383000000.0
Other Cashflows From Investing Activities,-354000000.0,-30000000.0,40000000.0,24000000.0
Dividends Paid,-1906000000.0,-1815000000.0,-1814000000.0,-1813000000.0
Other Cashflows From Financing Activities,-979000000.0,1000000.0,18000000.0,77000000.0
Change To Netincome,-14000000.0,-518000000.0,267000000.0,-74000000.0
Capital Expenditures,-217000000.0,-639000000.0,-278000000.0,-234000000.0
Change To Inventory,,-135000000.0,-135000000.0,-135000000.0
Change To Account Receivables,,-225000000.0,-225000000.0,-225000000.0
