,2022-04-01,2021-12-31,2021-10-01,2021-07-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3458000000.0,2960000000.0,3084000000.0,3618000000.0
Minority Interest,1996000000.0,1861000000.0,1954000000.0,2006000000.0
Net Income,2781000000.0,2414000000.0,2471000000.0,2641000000.0
Selling General Administrative,2897000000.0,3382000000.0,3049000000.0,2944000000.0
Gross Profit,6400000000.0,5376000000.0,6065000000.0,6342000000.0
Ebit,3503000000.0,2001000000.0,3016000000.0,3398000000.0
Operating Income,3503000000.0,2001000000.0,3016000000.0,3398000000.0
Other Operating Expenses,,-7000000.0,-7000000.0,-7000000.0
Interest Expense,-182000000.0,-165000000.0,-210000000.0,-780000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,665000000.0,510000000.0,609000000.0,994000000.0
Total Revenue,10491000000.0,9464000000.0,10042000000.0,10129000000.0
Total Operating Expenses,6988000000.0,7463000000.0,7026000000.0,6731000000.0
Cost Of Revenue,4091000000.0,4088000000.0,3977000000.0,3787000000.0
Total Other Income Expense Net,-45000000.0,959000000.0,68000000.0,220000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2793000000.0,2450000000.0,2475000000.0,2624000000.0
Net Income Applicable To Common Shares,2781000000.0,2414000000.0,2471000000.0,2641000000.0
