,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,53999000.0,65680000.0,115013000.0,60281000.0
Capital Surplus,2316799000.0,2264874000.0,2269617000.0,1811422000.0
Total Liab,13320857000.0,9244167000.0,16168209000.0,10588612000.0
Total Stockholder Equity,1386087000.0,1110899000.0,1827231000.0,1348794000.0
Other Current Liab,28203000.0,26050000.0,17650000.0,1258000.0
Total Assets,14706944000.0,10355066000.0,17995440000.0,11937406000.0
Common Stock,1149000.0,1121000.0,1144000.0,849000.0
Other Current Assets,2291859000.0,511160000.0,1204538000.0,1249780000.0
Retained Earnings,-922934000.0,-1150875000.0,-485043000.0,-524774000.0
Other Liab,78315000.0,71843000.0,71431000.0,57692000.0
Treasury Stock,-8927000.0,-4221000.0,41513000.0,61297000.0
Other Assets,416684000.0,254306000.0,234649000.0,363022000.0
Cash,450485000.0,461260000.0,196966000.0,175764000.0
Total Current Liabilities,2331355000.0,629491000.0,2614588000.0,2548689000.0
Deferred Long Term Asset Charges,20867000.0,871000.0,,
Other Stockholder Equity,-8927000.0,-4221000.0,41513000.0,61297000.0
Property Plant Equipment,27791000.0,19215000.0,16767000.0,5106000.0
Total Current Assets,13723070000.0,9689536000.0,17154300000.0,11097346000.0
Long Term Investments,485400000.0,326329000.0,386036000.0,411651000.0
Net Tangible Assets,1344526000.0,1054034000.0,1665767000.0,1348794000.0
Net Receivables,10783640000.0,8538211000.0,14856555000.0,8517401000.0
Long Term Debt,10894390000.0,8526146000.0,13468747000.0,7982231000.0
Short Long Term Debt,,99190000.0,814118000.0,201000000.0
Good Will,,,88675000.0,
Accounts Payable,,,5468000.0,
