,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,-93674000.0,757433000.0,306569000.0,-50153000.0
Change To Liabilities,41967000.0,-68507000.0,4502000.0,21080000.0
Total Cashflows From Investing Activities,1404096000.0,4070414000.0,1025862000.0,-12752000.0
Net Borrowings,4346583000.0,-3116647000.0,-81188000.0,1663378000.0
Total Cash From Financing Activities,4277503000.0,-3311330000.0,225471000.0,1682755000.0
Issuance Of Stock,21944000.0,5881000.0,450710000.0,142601000.0
Net Income,319613000.0,-581847000.0,169183000.0,119600000.0
Change In Cash,-12966000.0,253617000.0,85756000.0,58270000.0
Repurchase Of Stock,-2267000.0,-25945000.0,-5471000.0,-21154000.0
Total Cash From Operating Activities,-5694565000.0,-505467000.0,-1165577000.0,-1611733000.0
Depreciation,16784000.0,17365000.0,10133000.0,1308000.0
Other Cashflows From Investing Activities,-152907000.0,-90971000.0,104798000.0,-358491000.0
Dividends Paid,-91672000.0,-83985000.0,-129452000.0,-96802000.0
Other Cashflows From Financing Activities,2915000.0,-90634000.0,-9128000.0,-5268000.0
Change To Netincome,-6008094000.0,-173859000.0,-1266185000.0,-1711872000.0
