,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,338091000.0,-586455000.0,176623000.0,130688000.0
Minority Interest,,,,
Net Income,319613000.0,-581847000.0,169183000.0,119600000.0
Selling General Administrative,167046000.0,110356000.0,105727000.0,75298000.0
Gross Profit,528827000.0,-329057000.0,317238000.0,208690000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,341904000.0,-492932000.0,182851000.0,130688000.0
Other Operating Expenses,19877000.0,53519000.0,28660000.0,2704000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,18478000.0,-4608000.0,7440000.0,11088000.0
Total Revenue,545163000.0,-318034000.0,327173000.0,216174000.0
Total Operating Expenses,203259000.0,174898000.0,144322000.0,85486000.0
Cost Of Revenue,16336000.0,11023000.0,9935000.0,7484000.0
Total Other Income Expense Net,-3813000.0,-93523000.0,-6228000.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,319613000.0,-581847000.0,169183000.0,119600000.0
Net Income Applicable To Common Shares,308978000.0,-583837000.0,164386000.0,115846000.0
