,0
zip,94941
sector,Real Estate
fullTimeEmployees,298
longBusinessSummary,"Redwood Trust, Inc., together with its subsidiaries, operates as a specialty finance company in the United States. The company operates through three segments: Residential Mortgage Banking, Business Purpose Mortgage Banking, and Investment Portfolio. The Residential Mortgage Banking segment operates a mortgage loan conduit that acquires residential loans from third-party originators for subsequent sale, securitization, or transfer to its investment portfolio. This segment also offers derivative financial instruments to manage risks associated with residential loans. The Business Purpose Mortgage Banking segment operates a platform that originates and acquires business purpose loans, such as single-family rental and bridge loans for subsequent securitization, sale, or transfer into its investment portfolio. The Investment Portfolio segment invests in securities retained from residential and business purpose securitization activities, and residential and small-balance multifamily bridge loans, as well as residential mortgage-backed securities issued by third parties, Freddie Mac K-Series multifamily loan securitizations and reperforming loan securitizations, servicer advance investments, home equity investments, and other housing-related investments. The company qualifies as a real estate investment trust (REIT) for federal income tax purposes. As a REIT, it intends to distribute at least 90% of its taxable income as dividends to shareholders. Redwood Trust, Inc. was incorporated in 1994 and is headquartered in Mill Valley, California."
city,Mill Valley
phone,415 389 7373
state,CA
country,United States
companyOfficers,[]
website,https://www.redwoodtrust.com
maxAge,1
address1,One Belvedere Place
industry,REIT—Mortgage
address2,Suite 300
ebitdaMargins,0
profitMargins,0.55354
grossMargins,0.96434
operatingCashflow,
revenueGrowth,-0.55
operatingMargins,0.576
ebitda,
targetLowPrice,10
recommendationKey,buy
grossProfits,528827000
freeCashflow,
targetMedianPrice,13
currentPrice,9.26
earningsGrowth,-0.693
currentRatio,7.792
returnOnAssets,0.02017
numberOfAnalystOpinions,8
targetMeanPrice,12.84
debtToEquity,863.875
returnOnEquity,0.19063999
targetHighPrice,16
totalCash,409000000
totalDebt,12483000320
totalRevenue,458163008
totalCashPerShare,3.4
financialCurrency,USD
revenuePerShare,4.051
quickRatio,7.792
recommendationMean,1.7
exchange,NYQ
shortName,"Redwood Trust, Inc."
longName,"Redwood Trust, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
underlyingSymbol,
quoteType,EQUITY
symbol,RWT
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_342014
uuid,fed7366b-19d6-37c7-8bf2-20617392d574
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,28.9
beta3Year,
enterpriseToEbitda,
52WeekChange,
morningStarRiskRating,
forwardEps,1.52
revenueQuarterlyGrowth,
sharesOutstanding,114675000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,11.999
sharesShort,3306946
sharesPercentSharesOut,0.0275
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.71799004
netIncomeToCommon,242978000
trailingEps,2.542
lastDividendValue,
SandP52WeekChange,
priceToBook,0.771731
heldPercentInsiders,0.00885
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1648684800
shortRatio,1.91
sharesShortPreviousMonthDate,1648684800
floatShares,119169109
beta,0.995098
enterpriseValue,13240803328
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.681
priceToSalesTrailing12Months,2.3177133
dateShortInterest,1651190400
pegRatio,0.27
ytdReturn,
forwardPE,6.0921054
lastCapGain,
shortPercentOfFloat,0.0381
sharesShortPriorMonth,3783387
category,
fiveYearAverageReturn,
previousClose,9.4
regularMarketOpen,9.32
twoHundredDayAverage,11.8344
trailingAnnualDividendYield,0.07340426
payoutRatio,0.4497
volume24Hr,
regularMarketDayHigh,9.4515
navPrice,
averageDailyVolume10Day,2380550
regularMarketPreviousClose,9.4
fiftyDayAverage,9.7612
trailingAnnualDividendRate,0.69
open,9.32
averageVolume10days,2380550
expireDate,
algorithm,
dividendRate,0.92
exDividendDate,1647993600
circulatingSupply,
startDate,
regularMarketDayLow,9.125
currency,USD
trailingPE,3.642801
regularMarketVolume,1852619
lastMarket,
maxSupply,
openInterest,
marketCap,1061890496
volumeAllCurrencies,
strikePrice,
averageVolume,1576966
dayLow,9.125
ask,0
askSize,1800
volume,1852619
fiftyTwoWeekHigh,14.17
fromCurrency,
fiveYearAvgDividendYield,8.41
fiftyTwoWeekLow,8.63
bid,0
tradeable,False
dividendYield,0.092700005
bidSize,3200
dayHigh,9.4515
regularMarketPrice,9.26
preMarketPrice,9.12
logo_url,https://logo.clearbit.com/redwoodtrust.com
