,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Intangible Assets,57766000.0,53999000.0,57635000.0,57840000.0
Capital Surplus,2391344000.0,2316799000.0,2312272000.0,2287412000.0
Total Liab,12808000000.0,13320857000.0,11696891000.0,10701249000.0
Total Stockholder Equity,1445000000.0,1386087000.0,1375823000.0,1295142000.0
Other Current Liab,44502000.0,28203000.0,63418000.0,30292000.0
Total Assets,14253000000.0,14706944000.0,13072714000.0,11996391000.0
Common Stock,1445000000.0,1149000.0,1147000.0,1131000.0
Other Current Assets,1943672000.0,2291859000.0,2066645000.0,1644307000.0
Retained Earnings,-920807000.0,-922934000.0,-939519000.0,-1003141000.0
Other Liab,325000000.0,78315000.0,69420000.0,62126000.0
Treasury Stock,-26474000.0,-8927000.0,1923000.0,9740000.0
Other Assets,425000000.0,416684000.0,218332000.0,209495000.0
Cash,409000000.0,450485000.0,556989000.0,421223000.0
Total Current Liabilities,1647000000.0,2331355000.0,1929226000.0,1603675000.0
Deferred Long Term Asset Charges,20867000.0,20867000.0,20153000.0,
Other Stockholder Equity,-26474000.0,-8927000.0,1923000.0,9740000.0
Property Plant Equipment,28022000.0,27791000.0,23003000.0,21572000.0
Total Current Assets,12833000000.0,13723070000.0,12333553000.0,11379563000.0
Long Term Investments,995000000.0,485400000.0,440191000.0,327921000.0
Net Tangible Assets,1445000000.0,1344526000.0,1330577000.0,1246023000.0
Net Receivables,12424000000.0,10783640000.0,9505806000.0,9137303000.0
Long Term Debt,10836000000.0,10894390000.0,9683402000.0,9021305000.0
Accounts Payable,21734000.0,,,
Short Long Term Debt,,,183800000.0,191288000.0
