,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Investments,-19426000.0,-47759000.0,-102040000.0,26315000.0
Change To Liabilities,-8901000.0,-31153000.0,55793000.0,-59497000.0
Total Cashflows From Investing Activities,270497000.0,41083000.0,293169000.0,487232000.0
Net Borrowings,-63094000.0,1776851000.0,1013132000.0,1175167000.0
Total Cash From Financing Activities,-27484000.0,1758989000.0,1004442000.0,1153176000.0
Issuance Of Stock,67632000.0,1696000.0,19993000.0,140000.0
Net Income,31000000.0,44045000.0,88286000.0,90025000.0
Change In Cash,-48663000.0,-114222000.0,169435000.0,-45523000.0
Repurchase Of Stock,-1202000.0,-1310000.0,-14000.0,-18000.0
Total Cash From Operating Activities,-291676000.0,-1914294000.0,-1128176000.0,-1685931000.0
Depreciation,3969000.0,4110000.0,4269000.0,4233000.0
Other Cashflows From Investing Activities,43854000.0,-195240000.0,1520000.0,13408000.0
Dividends Paid,-28788000.0,-27460000.0,-24664000.0,-20976000.0
Other Cashflows From Financing Activities,-2032000.0,9212000.0,-4005000.0,-1137000.0
Change To Netincome,-348729000.0,-1876141000.0,-1256584000.0,-1728387000.0
