,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Investments,1323000000.0,1323000000.0,1323000000.0,-1233000000.0
Change To Liabilities,1636000000.0,-1410000000.0,-1524000000.0,1602000000.0
Total Cashflows From Investing Activities,-32089000000.0,-13548000000.0,-16690000000.0,-63145000000.0
Net Borrowings,19196000000.0,-10986000000.0,-16771000000.0,-9349000000.0
Total Cash From Financing Activities,1578000000.0,-32007000000.0,-25083000000.0,-25989000000.0
Change To Operating Activities,-16685000000.0,-14123000000.0,-13214000000.0,-10390000000.0
Issuance Of Stock,96000000.0,105000000.0,631000000.0,745000000.0
Net Income,20081000000.0,-5176000000.0,13903000000.0,19370000000.0
Change In Cash,11446000000.0,-2425000000.0,6895000000.0,-45532000000.0
Repurchase Of Stock,-202000000.0,-5498000000.0,-2417000000.0,-609000000.0
Total Cash From Operating Activities,41957000000.0,43130000000.0,48668000000.0,43602000000.0
Depreciation,19841000000.0,25033000000.0,24904000000.0,25338000000.0
Other Cashflows From Investing Activities,-172000000.0,337000000.0,70000000.0,500000000.0
Dividends Paid,-15068000000.0,-14956000000.0,-14888000000.0,-13410000000.0
Change To Account Receivables,-634000000.0,2216000000.0,2812000000.0,-1580000000.0
Other Cashflows From Financing Activities,-2444000000.0,-4541000000.0,7198000000.0,-3366000000.0
Change To Netincome,3691000000.0,24504000000.0,8887000000.0,2398000000.0
Capital Expenditures,-16527000000.0,-15675000000.0,-19635000000.0,-21251000000.0
