,0
zip,75202
sector,Communication Services
fullTimeEmployees,203160
longBusinessSummary,"AT&T Inc. provides telecommunications, media, and technology services worldwide. Its Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, and carrying cases and hands-free devices through its own company-owned stores, agents, and third-party retail stores. It also provides data, voice, security, cloud solutions, outsourcing, and managed and professional services, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband fiber and legacy telephony voice communication services to residential customers. It markets its communications services and products under the AT&T, Cricket, AT&T PREPAID, and AT&T Fiber brand names. The company's Latin America segment provides wireless services in Mexico; and video services in Latin America. This segment markets its services and products under the AT&T and Unefon brand names. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas."
city,Dallas
phone,210 821 4105
state,TX
country,United States
companyOfficers,[]
website,https://www.att.com
maxAge,1
address1,208 South Akard Street
industry,Telecom Services
ebitdaMargins,0.33402002
profitMargins,0.10637
grossMargins,0.53213
operatingCashflow,37761998848
revenueGrowth,-0.133
operatingMargins,0.21398
ebitda,54456000512
targetLowPrice,14
recommendationKey,hold
grossProfits,89057000000
freeCashflow,51255123968
targetMedianPrice,22.5
currentPrice,20.82
earningsGrowth,-0.378
currentRatio,0.932
returnOnAssets,0.03879
numberOfAnalystOpinions,24
targetMeanPrice,24.64
debtToEquity,123.031
returnOnEquity,0.10119
targetHighPrice,41
totalCash,38564999168
totalDebt,229521997824
totalRevenue,163030007808
totalCashPerShare,5.387
financialCurrency,USD
revenuePerShare,22.726
quickRatio,0.676
recommendationMean,2.6
exchange,NYQ
shortName,AT&T Inc.
longName,AT&T Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,True
gmtOffSetMilliseconds,-14400000
underlyingSymbol,
quoteType,EQUITY
symbol,T
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_100231
uuid,b9ece18c-950a-3bfa-ab0f-dbfa4ff731d3
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.107
beta3Year,
enterpriseToEbitda,6.308
52WeekChange,
morningStarRiskRating,
forwardEps,3.21
revenueQuarterlyGrowth,
sharesOutstanding,7141000192
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,22.937
sharesShort,74789229
sharesPercentSharesOut,0.0104
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.54799
netIncomeToCommon,17136000000
trailingEps,0.129
lastDividendValue,
SandP52WeekChange,
priceToBook,0.9077037
heldPercentInsiders,0.00115
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1648684800
shortRatio,1.24
sharesShortPreviousMonthDate,1648684800
floatShares,7148977400
beta,0.646568
enterpriseValue,343495737344
priceHint,2
threeYearAverageReturn,
lastSplitDate,890352000
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.363
priceToSalesTrailing12Months,0.9119525
dateShortInterest,1651190400
pegRatio,-1.98
ytdReturn,
forwardPE,6.485981
lastCapGain,
shortPercentOfFloat,0.0105
sharesShortPriorMonth,78750089
category,
fiveYearAverageReturn,
previousClose,20.88
regularMarketOpen,20.68
twoHundredDayAverage,19.167215
trailingAnnualDividendYield,0.099616855
payoutRatio,0.65269995
volume24Hr,
regularMarketDayHigh,20.82
navPrice,
averageDailyVolume10Day,30763580
regularMarketPreviousClose,20.88
fiftyDayAverage,19.792273
trailingAnnualDividendRate,2.08
open,20.68
averageVolume10days,30763580
expireDate,
algorithm,
dividendRate,1.11
exDividendDate,1649808000
circulatingSupply,
startDate,
regularMarketDayLow,20.63
currency,USD
trailingPE,161.39536
regularMarketVolume,13684848
lastMarket,
maxSupply,
openInterest,
marketCap,148675624960
volumeAllCurrencies,
strikePrice,
averageVolume,52632631
dayLow,20.63
ask,0
askSize,21500
volume,13684848
fiftyTwoWeekHigh,22.167673
fromCurrency,
fiveYearAvgDividendYield,6.58
fiftyTwoWeekLow,16.63142
bid,0
tradeable,False
dividendYield,0.0559
bidSize,29200
dayHigh,20.82
regularMarketPrice,20.82
preMarketPrice,20.6701
logo_url,https://logo.clearbit.com/att.com
