,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Intangible Assets,158826000000.0,159493000000.0,159266000000.0,135849000000.0
Capital Surplus,129637000000.0,130112000000.0,130035000000.0,129941000000.0
Total Liab,390639000000.0,367767000000.0,365804000000.0,364864000000.0
Total Stockholder Equity,169036000000.0,166332000000.0,163771000000.0,162296000000.0
Minority Interest,17520000000.0,17523000000.0,17532000000.0,17550000000.0
Deferred Long Term Liab,7847000000.0,7396000000.0,7252000000.0,7157000000.0
Other Current Liab,7269000000.0,14111000000.0,8864000000.0,8773000000.0
Total Assets,577195000000.0,551622000000.0,547107000000.0,544710000000.0
Common Stock,7621000000.0,7621000000.0,7621000000.0,7621000000.0
Other Current Assets,4960000000.0,5154000000.0,6081000000.0,25389000000.0
Retained Earnings,45041000000.0,42350000000.0,41091000000.0,38947000000.0
Other Liab,107003000000.0,107048000000.0,106143000000.0,104535000000.0
Good Will,133247000000.0,133223000000.0,133663000000.0,134626000000.0
Treasury Stock,-13263000000.0,-13751000000.0,-14976000000.0,-14213000000.0
Other Assets,51223000000.0,40208000000.0,38198000000.0,60163000000.0
Cash,38565000000.0,21169000000.0,21270000000.0,11869000000.0
Total Current Liabilities,82494000000.0,85588000000.0,81601000000.0,82126000000.0
Short Long Term Debt,28380000000.0,13002000000.0,11956000000.0,10333000000.0
Other Stockholder Equity,3290000000.0,3529000000.0,2343000000.0,3119000000.0
Property Plant Equipment,151100000000.0,150084000000.0,148760000000.0,147981000000.0
Total Current Assets,76856000000.0,59997000000.0,57230000000.0,62869000000.0
Long Term Investments,5943000000.0,8617000000.0,9990000000.0,3222000000.0
Net Tangible Assets,-123037000000.0,-126384000000.0,-129158000000.0,-108179000000.0
Short Term Investments,61000000.0,41000000.0,65000000.0,51000000.0
Net Receivables,17218000000.0,22378000000.0,20390000000.0,20052000000.0
Long Term Debt,180225000000.0,152386000000.0,154976000000.0,154960000000.0
Inventory,3153000000.0,3464000000.0,3088000000.0,2810000000.0
Accounts Payable,46845000000.0,30756000000.0,41261000000.0,43537000000.0
