,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Investments,1315000000.0,1323000000.0,1323000000.0,-14000000.0
Change To Liabilities,-4031000000.0,3890000000.0,2044000000.0,-1238000000.0
Total Cashflows From Investing Activities,-12651000000.0,-4756000000.0,3298000000.0,-3779000000.0
Net Borrowings,29105000000.0,-2166000000.0,755000000.0,-2070000000.0
Total Cash From Financing Activities,24251000000.0,-6587000000.0,-3735000000.0,-6583000000.0
Change To Operating Activities,-2979000000.0,-5788000000.0,-5133000000.0,-3178000000.0
Issuance Of Stock,26000000.0,7000000.0,4000000.0,22000000.0
Net Income,4810000000.0,5043000000.0,5918000000.0,1570000000.0
Change In Cash,17332000000.0,-89000000.0,9429000000.0,548000000.0
Repurchase Of Stock,-197000000.0,-11000000.0,-6000000.0,-9000000.0
Total Cash From Operating Activities,5732000000.0,11254000000.0,9866000000.0,10910000000.0
Depreciation,5539000000.0,2652000000.0,5619000000.0,5761000000.0
Other Cashflows From Investing Activities,15000000.0,18000000.0,-85000000.0,-105000000.0
Dividends Paid,-3749000000.0,-3749000000.0,-3748000000.0,-3830000000.0
Change To Account Receivables,-228000000.0,-691000000.0,-1358000000.0,664000000.0
Other Cashflows From Financing Activities,-934000000.0,-668000000.0,-740000000.0,-696000000.0
Change To Netincome,-388000000.0,542000000.0,611000000.0,3961000000.0
Capital Expenditures,-4748000000.0,-3831000000.0,-4704000000.0,-3959000000.0
