,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6607000000.0,6446000000.0,7812000000.0,2625000000.0
Minority Interest,17520000000.0,17523000000.0,17532000000.0,17550000000.0
Net Income,4810000000.0,5043000000.0,5918000000.0,1570000000.0
Selling General Administrative,9368000000.0,7994000000.0,7609000000.0,8390000000.0
Gross Profit,20548000000.0,21163000000.0,22096000000.0,22946000000.0
Ebit,5641000000.0,7496000000.0,8868000000.0,8795000000.0
Operating Income,5641000000.0,7496000000.0,8868000000.0,8795000000.0
Other Operating Expenses,,,,
Interest Expense,-1722000000.0,-1663000000.0,-1667000000.0,-1684000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1443000000.0,1056000000.0,1539000000.0,751000000.0
Total Revenue,38105000000.0,40958000000.0,39922000000.0,44045000000.0
Total Operating Expenses,32464000000.0,33462000000.0,31054000000.0,35250000000.0
Cost Of Revenue,17557000000.0,19795000000.0,17826000000.0,21099000000.0
Total Other Income Expense Net,966000000.0,-1050000000.0,-1056000000.0,-6170000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5164000000.0,5390000000.0,6273000000.0,1874000000.0
Net Income Applicable To Common Shares,4762000000.0,4992000000.0,5868000000.0,1514000000.0
